idl	ids	c	n
<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Twitter for iPhone	human	1654943
<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	Twitter for Android	human	1205680
<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>	Twitter Web Client	human	625934
<a href="http://foursquare.com" rel="nofollow">Foursquare</a>	Foursquare	osn	173260
<a href="http://instagram.com" rel="nofollow">Instagram</a>	Instagram	osn	167994
<a href="https://path.com/" rel="nofollow">Path</a>	Path	osn	44595
<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	Twitter for iPad	human	38114
<a href="http://www.tweetmyjobs.com" rel="nofollow">TweetMyJOBS</a>	TweetMyJOBS	jobs	34787
<a href="http://tapbots.com/tweetbot" rel="nofollow">Tweetbot for iΟS</a>	Tweetbot for iΟS	tweetbot	23323
<a href="http://www.twitter.com" rel="nofollow">Twitter for Windows Phone</a>	Twitter for Windows Phone	human	14441
<a href="http://tweetmyjobs.com" rel="nofollow">SafeTweet by TweetMyJOBS</a>	SafeTweet by TweetMyJOBS	jobs	9286
<a href="http://tapbots.com/software/tweetbot/mac" rel="nofollow">Tweetbot for Mac</a>	Tweetbot for Mac	bot	5922
<a href="http://dlvr.it" rel="nofollow">dlvr.it</a>	dlvr.it	bot	5570
<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	Twitter for BlackBerry®	human	5550
<a href="http://sandaysoft.com/" rel="nofollow">Sandaysoft Cumulus</a>	Sandaysoft Cumulus	meteo	4158
<a href="http://trendsmap.com/" rel="nofollow">Trendsmap Alerting</a>	Trendsmap Alerting	trends	2970
<a href="https://twitter.com/download/android" rel="nofollow">Twitter for Android Tablets</a>	Twitter for Android Tablets	human	2735
<a href="http://twitter.com/USACities/cities" rel="nofollow">Cities</a>	Cities	trends	2490
<a href="http://twitter.com/WorldCities/cities" rel="nofollow">World Cities</a>	World Cities	trends	2460
<a href="https://511ny.org" rel="nofollow">511NY-Tweets</a>	511NY-Tweets	traffic	1887
<a href="https://itunes.apple.com/jp/app/ye-hu-ba-zhong-zou/id557514907?mt=8" rel="nofollow">NightfoxDuo iOS</a>	NightfoxDuo iOS	music	1776
<a href="https://untappd.com" rel="nofollow">Untappd</a>	Untappd	osn	1381
<a href="http://www.endomondo.com" rel="nofollow">Endomondo</a>	Endomondo	sport	1360
<a href="https://central132.cl" rel="nofollow">Central132</a>	Central132	alert	1242
<a href="https://twitter.com/googuns_lulz" rel="nofollow">GooGuns Lulz</a>	GooGuns Lulz	spam	1217
<a href="http://www.softel.co.jp/labs/" rel="nofollow">tenki</a>	tenki	0	1159
<a href="http://www.vjukebox.com" rel="nofollow">Virtual Jukebox - Recent Tracks</a>	Virtual Jukebox - Recent Tracks	music	1099
<a href="http://www.map-game.com" rel="nofollow">MapGame</a>	MapGame	game	1062
<a href="http://mvilla.it/fenix" rel="nofollow">Fenix for Android</a>	Fenix for Android	human	980
<a href="http://troubleshooting.ru" rel="nofollow">olbania</a>	olbania	0	949
<a href="https://twitter.com/" rel="nofollow">Client Twitter Web</a>	Client Twitter Web	human	948
<a href="http://www.chatter.ng" rel="nofollow">ChatterNg</a>	ChatterNg	news	939
<a href="http://exboard.net" rel="nofollow">ExBoard.net</a>	ExBoard.net	0	913
<a href="https://github.com/jim-easterbrook/pywws" rel="nofollow">pywws</a>	pywws	meteo	812
<a href="https://github.com/hugovk/" rel="nofollow">Every Finnish Number</a>	Every Finnish Number	spam	789
<a href="http://www.zorrotron.com" rel="nofollow">Zorrotron</a>	Zorrotron	0	764
<a href="http://www.tweetcaster.com" rel="nofollow">TweetCaster for Android</a>	TweetCaster for Android	human	715
<a href="http://www.propertywala.com/" rel="nofollow">PropertyWala.com</a>	PropertyWala.com	0	714
<a href="http://www.bubblelife.com" rel="nofollow">BubbleLife</a>	BubbleLife	0	577
<a href="https://twitter.com/RelojesESP" rel="nofollow">RelojesESP</a>	RelojesESP	0	522
<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>	twitterfeed	0	516
<a href="http://www.hootsuite.com" rel="nofollow">Hootsuite</a>	Hootsuite	0	515
<a href="http://www.squarespace.com" rel="nofollow">Squarespace</a>	Squarespace	0	510
<a href="http://www.collatron.com" rel="nofollow">Collatron</a>	Collatron	0	485
<a href="http://twitter.com/marsbots" rel="nofollow">MarsBots</a>	MarsBots	bot	464
<a href="http://www.apple.com" rel="nofollow">iOS</a>	iOS	human	449
<a href="http://www.twitter.com/photoschedule" rel="nofollow">Photo Schedule Tweeter</a>	Photo Schedule Tweeter	0	448
<a href="http://www.echofon.com/" rel="nofollow">Echofon</a>	Echofon	0	423
<a href="http://tweetlogix.com" rel="nofollow">Tweetlogix</a>	Tweetlogix	0	413
<a href="http://shkspr.mobi/blog/tag/solar/" rel="nofollow">Edent's Solar Panels</a>	Edent's Solar Panels	0	405
<a href="http://ketosea.com" rel="nofollow">Keto Sea</a>	Keto Sea	0	393
<a href="http://twitter.com/metar_updater" rel="nofollow">METAR Updater</a>	METAR Updater	meteo	377
<a href="http://www.google.com/" rel="nofollow">Google</a>	Google	0	371
<a href="http://www.kartenquiz.de" rel="nofollow">www.kartenquiz.de</a>	www.kartenquiz.de	0	343
<a href="http://www.dgt.es" rel="nofollow">D.G.T.</a>	D.G.T.	0	335
<a href="http://www.twitter.com" rel="nofollow">Twitter for BlackBerry</a>	Twitter for BlackBerry	human	333
<a href="http://www.myplume.com/" rel="nofollow">Plume for Android</a>	Plume for Android	human	331
<a href="http://gqg.jp/files/amedas/locate/" rel="nofollow">KionBancho</a>	KionBancho	0	330
<a href="http://www.tweet3po.org" rel="nofollow">Tweet3po</a>	Tweet3po	0	310
<a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>	watiserloos.in	0	298
<a href="http://zaku-2000.appspot.com/" rel="nofollow">srvnotif</a>	srvnotif	0	285
<a href="http://laconversa.com" rel="nofollow">Es Tendencia en España</a>	Es Tendencia en España	trends	279
<a href="http://www.billetreduc.com" rel="nofollow">BilletReducCritiques</a>	BilletReducCritiques	0	277
<a href="http://trendinalia.com" rel="nofollow">Trendinalia México</a>	Trendinalia México	trends	274
<a href="http://laconversa.com" rel="nofollow">Canada Trends</a>	Canada Trends	trends	274
<a href="http://cps1.redirectme.net:8080/tuimobility" rel="nofollow">traffic & mobility</a>	traffic & mobility	traffic	272
<a href="http://web.chad.org/projects/orlando-crime/" rel="nofollow">orlpol robot</a>	orlpol robot	0	270
<a href="http://myvinny.com" rel="nofollow">Vinny Scans</a>	Vinny Scans	0	266
<a href="http://laconversa.com" rel="nofollow">Trends from India</a>	Trends from India	0	262
<a href="http://cps1.redirectme.net:8080/tuimobility" rel="nofollow">traffic & mobility 06</a>	traffic & mobility 06	traffic	260
<a href="http://laconversa.com" rel="nofollow">Trendinalia USA</a>	Trendinalia USA	0	259
<a href="http://twitter.com" rel="nofollow">Twitter for  iPhone</a>	Twitter for  iPhone	0	258
<a href="http://www.ptext.de/" rel="nofollow">ptext-API2</a>	ptext-API2	0	255
<a href="http://parolesoftware.com/WxTweeter" rel="nofollow">WxTweeter</a>	WxTweeter	0	253
<a href="http://laconversa.com" rel="nofollow">Tendências Brasil</a>	Tendências Brasil	trends	251
<a href="https://play.google.com/store/apps/details?id=org.mariotaku.twidere" rel="nofollow">Twidere for Android #4</a>	Twidere for Android #4	0	251
<a href="http://laconversa.com" rel="nofollow">Es Tendencia en Argentina</a>	Es Tendencia en Argentina	trends	249
<a href="http://soundhound.com/" rel="nofollow">SoundHound</a>	SoundHound	music	247
<a href="http://laconversa.com" rel="nofollow">Es Tendencia en Venezuela</a>	Es Tendencia en Venezuela	trends	246
<a href="http://laconversa.com" rel="nofollow">Es Tendencia en Chile</a>	Es Tendencia en Chile	trends	246
<a href="http://laconversa.com" rel="nofollow">UK Trends</a>	UK Trends	trends	242
<a href="http://dinehere.us" rel="nofollow">dine here</a>	dine here	osn	241
<a href="http://spotreporters.com" rel="nofollow">Spot Reporters Server</a>	Spot Reporters Server	0	225
<a href="https://twitter.com/download/android" rel="nofollow">Twitter for  Android</a>	Twitter for  Android	0	220
<a href="http://cps1.redirectme.net:8080/tuimobility" rel="nofollow">traffic & mobility 01</a>	traffic & mobility 01	traffic	220
<a href="http://trendinalia.com" rel="nofollow">Philippines Trends</a>	Philippines Trends	trends	218
<a href="http://laconversa.com" rel="nofollow">Indonesia Trends</a>	Indonesia Trends	trends	218
<a href="http://laconversa.com" rel="nofollow">Es Tendencia en Perú</a>	Es Tendencia en Perú	trends	217
<a href="http://www.olesa.cat/horacatalana" rel="nofollow">Hora Catalana</a>	Hora Catalana	0	213
<a href="http://laconversa.com" rel="nofollow">Tendenze Italia</a>	Tendenze Italia	trends	212
<a href="http://www.starsightings.com" rel="nofollow">-StarSightings</a>	-StarSightings	0	211
<a href="http://laconversa.com" rel="nofollow">Tendances France</a>	Tendances France	trends	210
<a href="http://laconversa.com/twitter-trending-topics" rel="nofollow">Es Tendencia en Colombia</a>	Es Tendencia en Colombia	trends	209
<a href="http://maree.info/" rel="nofollow">marée.info - Horloge</a>	marée.info - Horloge	0	209
<a href="http://laconversa.com" rel="nofollow">South Africa Trends</a>	South Africa Trends	trends	205
<a href="http://www.circlepix.com" rel="nofollow">circlepix</a>	circlepix	0	203
<a href="http://trendinalia.com" rel="nofollow">Тенденции России</a>	Тенденции России	0	202
<a href="http://earthquake-report.com" rel="nofollow">QuakeSOS</a>	QuakeSOS	0	201
<a href="http://laconversa.com" rel="nofollow">Australia Trends</a>	Australia Trends	trends	200
<a href="http://trendinalia.com" rel="nofollow">Turkey Trends</a>	Turkey Trends	trends	198
<a href="http://trendinalia.com" rel="nofollow">Nigeria Trends</a>	Nigeria Trends	trends	195
<a href="http://ubersocial.com" rel="nofollow">UberSocial for BlackBerry</a>	UberSocial for BlackBerry	0	191
<a href="http://laconversa.com" rel="nofollow">Deutschland in Trends</a>	Deutschland in Trends	trends	189
<a href="http://www.tweetywall.com" rel="nofollow">Tweetywall</a>	Tweetywall	0	188
<a href="http://trendinalia.com" rel="nofollow">Netherlands Trends</a>	Netherlands Trends	trends	184
<a href="http://www.handmark.com" rel="nofollow">TweetCaster for iOS</a>	TweetCaster for iOS	0	181
<a href="http://laconversa.com" rel="nofollow">Es Tendencia en Ecuador</a>	Es Tendencia en Ecuador	trends	179
<a href="http://trendinalia.com" rel="nofollow">Poland Trends</a>	Poland Trends	trends	175
<a href="http://laconversa.com" rel="nofollow">Es Tendencia en Dominicana</a>	Es Tendencia en Dominicana	trends	174
<a href="http://laconversa.com" rel="nofollow">Es Tendencia en Guatemala</a>	Es Tendencia en Guatemala	trends	166
<a href="http://trendinalia.com" rel="nofollow">Belgium Trends</a>	Belgium Trends	trends	162
<a href="http://laconversa.com" rel="nofollow">Ireland Trends</a>	Ireland Trends	trends	162
<a href="http://www.radioteddy.de" rel="nofollow">Radio Teddy Music App</a>	Radio Teddy Music App	music	160
<a href="http://baltimorecity.gov" rel="nofollow">Baltimore 311</a>	Baltimore 311	0	159
<a href="http://trendinalia.com" rel="nofollow">Kenya's Trends</a>	Kenya's Trends	trends	158
<a href="http://ijg.me" rel="nofollow">ijg</a>	ijg	0	157
<a href="https://itunes.apple.com/us/app/ubersocial-for-twitter/id396050119?mt=8&uo=4" rel="nofollow">UberSocial for Twitter on iOS</a>	UberSocial for Twitter on iOS	music	152
<a href="http://nekora.main.jp/" rel="nofollow">nekora2520_client</a>	nekora2520_client	0	152
<a href="http://127.0.0.1:4567/auth/twitter" rel="nofollow">NotableBirds</a>	NotableBirds	0	151
<a href="http://www.bbradio.de" rel="nofollow">BB RADIO Music App</a>	BB RADIO Music App	0	150
<a href="http://legiscan.com/" rel="nofollow">eLobbyist</a>	eLobbyist	0	149
<a href="http://trendinalia.com" rel="nofollow">Pakistan Trends</a>	Pakistan Trends	trends	148
<a href="http://laconversa.com" rel="nofollow">Emirates Trends</a>	Emirates Trends	trends	147
<a href="http://laconversa.com" rel="nofollow">Tendências Portugal</a>	Tendências Portugal	trends	147
<a href="http://ebbtide.co" rel="nofollow">Ebb Tide Bot</a>	Ebb Tide Bot	0	146
<a href="http://macet.xyz" rel="nofollow">1.macet.xyz</a>	1.macet.xyz	0	144
<a href="http://ukrkarta.info/" rel="nofollow">ukrkarta_info</a>	ukrkarta_info	0	143
<a href="http://publicize.wp.com/" rel="nofollow">WordPress.com</a>	WordPress.com	0	138
<a href="http://tapbots.com/tweetbot" rel="nofollow">Tweetbot 3 for iΟS</a>	Tweetbot 3 for iΟS	bot	138
<a href="http://www.twitter.com/" rel="nofollow">earthquake_allhypo</a>	earthquake_allhypo	0	136
<a href="http://fakeisthenewreal.org/" rel="nofollow">Words & Warps</a>	Words & Warps	0	135
<a href="http://okaprogram.web.fc2.com/top.htm" rel="nofollow">Tadanori</a>	Tadanori	0	134
<a href="http://twitter.com/metar_reporter" rel="nofollow">METAR Reporter</a>	METAR Reporter	meteo	132
<a href="http://object82.int" rel="nofollow">object82</a>	object82	0	132
<a href="http://trendinalia.com" rel="nofollow">Trendinalia Puerto Rico</a>	Trendinalia Puerto Rico	trends	125
<a href="http://www.sigalert.com/Map.asp?region=New+York" rel="nofollow">TTN NYC traffic</a>	TTN NYC traffic	traffic	125
<a href="http://trendinalia.com" rel="nofollow">Trender Sverige</a>	Trender Sverige	trends	123
<a href="http://trendinalia.com" rel="nofollow">Norge Trender</a>	Norge Trender	trends	121
<a href="http://www.op-vakantie.nl" rel="nofollow">op-Vakantie</a>	op-Vakantie	0	118
<a href="http://mesonet.agron.iastate.edu/projects/iembot/" rel="nofollow">iembot</a>	iembot	bot	114
<a href="http://wz.lviv.ua/" rel="nofollow">WZ_lviv</a>	WZ_lviv	0	107
<a href="http://www.sotawatch.org/" rel="nofollow">SOTAwatch</a>	SOTAwatch	0	106
<a href="http://www.rfs.nsw.gov.au" rel="nofollow">RFS_Updates_Tweeter</a>	RFS_Updates_Tweeter	0	105
<a href="http://www.tweetings.net" rel="nofollow">Tweetings for Android</a>	Tweetings for Android	0	105
<a href="http://trendinalia.com" rel="nofollow">Malaysia Trends</a>	Malaysia Trends	trends	103
<a href="http://www.tagrs.net" rel="nofollow">TAGRS</a>	TAGRS	0	103
<a href="http://www.myhome.ie" rel="nofollow">New Property on MyHome </a>	New Property on MyHome 	realestate	102
<a href="http://www.dasauge.de/jobs/" rel="nofollow">dasauge® Stellenmarkt</a>	dasauge® Stellenmarkt	0	100
<a href="http://trendinalia.com" rel="nofollow">New Zealand Trends</a>	New Zealand Trends	trends	98
<a href="http://www.iural.ru/twitter/" rel="nofollow">Interest indicator</a>	Interest indicator	0	96
<a href="http://www.firewatch.org.au" rel="nofollow">Firewatch Incident Feed</a>	Firewatch Incident Feed	alert	95
<a href="http://laconversa.com" rel="nofollow">Singapore Trends</a>	Singapore Trends	0	92
<a href="http://cps1.redirectme.net:8080/tuimobility" rel="nofollow">traffic & mobility 12</a>	traffic & mobility 12	traffic	92
<a href="http://www.rentfaster.ca" rel="nofollow">RentFaster</a>	RentFaster	realestate	92
<a href="http://klinkerapps.com" rel="nofollow">Talon Plus</a>	Talon Plus	0	91
<a href="http://trendinalia.com" rel="nofollow">Greece Trends</a>	Greece Trends	trends	91
<a href="http://www.gms-world.net/" rel="nofollow">Landmark Manager Web</a>	Landmark Manager Web	0	91
<a href="http://twitter.com/akari_oozora" rel="nofollow">大空お天気</a>	大空お天気	0	90
<a href="http://www.apple.com/" rel="nofollow">OS X</a>	OS X	0	87
<a href="http://updraft.us/" rel="nofollow">Updraft Networks</a>	Updraft Networks	0	86
<a href="http://eqmap.web.fc2.com/" rel="nofollow">twitbot_h</a>	twitbot_h	0	86
<a href="http://ubersocial.com" rel="nofollow">UberSocial for Android</a>	UberSocial for Android	0	84
<a href="http://www.myspace.com/sync" rel="nofollow">MySpace</a>	MySpace	0	84
<a href="http://www.floodgap.com/software/ttytter/" rel="nofollow">TTYtter</a>	TTYtter	0	83
<a href="http://www.beermenus.com" rel="nofollow">Beer Menus </a>	Beer Menus 	0	81
<a href="http://twitter.com/senegallife" rel="nofollow">senegallife</a>	senegallife	0	81
<a href="http://everyearthquake.com" rel="nofollow">everyEarthquake</a>	everyEarthquake	alert	80
<a href="http://lovelovesanta.blog.fc2.com" rel="nofollow">manilavirgin-bot</a>	manilavirgin-bot	0	79
<a href="http://www.copspotter.nl" rel="nofollow">Cop Spotter</a>	Cop Spotter	0	79
<a href="http://traffic.longdo.com/" rel="nofollow">Longdo Traffic</a>	Longdo Traffic	traffic	77
<a href="http://cps1.redirectme.net:8080/tuimobility" rel="nofollow">traffic & mobility 02</a>	traffic & mobility 02	traffic	74
<a href="http://www.almustaqbal.org/" rel="nofollow">Almustaqbal.org</a>	Almustaqbal.org	0	74
<a href="http://tweetaxpert.com" rel="nofollow">www.tweetaxpert.com ®</a>	www.tweetaxpert.com ®	0	74
<a href="http://plus.meteoware.com/netatmo/" rel="nofollow">MeteoWare Plus+</a>	MeteoWare Plus+	meteo	72
<a href="http://direlog.org" rel="nofollow">lyredog</a>	lyredog	0	72
<a href="http://www.sigalert.com/Map.asp?region=Miami" rel="nofollow">TTN MIA traffic</a>	TTN MIA traffic	traffic	71
<a href="http://twicca.r246.jp/" rel="nofollow">twicca</a>	twicca	0	69
<a href="https://beepbeep.p4innovation.com" rel="nofollow">Beep!Beep!</a>	Beep!Beep!	0	69
<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	Twitter for Mac	0	69
<a href="http://www.touringmobilis.be" rel="nofollow">Automatic Traffic Update</a>	Automatic Traffic Update	traffic	68
<a href="https://twitter.com/e_gibbon" rel="nofollow">Gibbon Machine</a>	Gibbon Machine	0	68
<a href="http://twitter.tariox.com" rel="nofollow">Tariox</a>	Tariox	0	68
<a href="http://cps1.redirectme.net:8080/tuimobility" rel="nofollow">traffic & mobility 08</a>	traffic & mobility 08	traffic	68
<a href="http://www.moutoncoveweather.com/" rel="nofollow">Mouton Cove Weather</a>	Mouton Cove Weather	meteo	66
<a href="http://www.sigalert.com/Map.asp?region=Dallas" rel="nofollow">TTN DFW traffic</a>	TTN DFW traffic	traffic	66
<a href="http://www.google.com/" rel="nofollow">newssharenews</a>	newssharenews	news	66
<a href="https://ardera.ru" rel="nofollow">Ardera</a>	Ardera	0	65
<a href="http://flying.rocks" rel="nofollow">Flying Rocks Deals</a>	Flying Rocks Deals	0	64
<a href="http://www.chat-perdu.org" rel="nofollow">chat-perdu.org</a>	chat-perdu.org	0	64
<a href="http://vk.com" rel="nofollow">vk.com</a>	vk.com	0	64
<a href="http://www.modix.be" rel="nofollow">MODIX ODL NL Feed</a>	MODIX ODL NL Feed	0	63
<a href="http://www.dopravnisituace.eu" rel="nofollow">Dopravní situace</a>	Dopravní situace	0	62
<a href="http://thisisafaketestingwebsite.com/testing" rel="nofollow">testiingaslkdfjslkfjtesting</a>	testiingaslkdfjslkfjtesting	0	61
<a href="http://muffinlabs.com" rel="nofollow">botly</a>	botly	0	60
<a href="https://www.dominos.com" rel="nofollow">Domino's</a>	Domino's	0	58
<a href="http://www.sigalert.com/Map.asp?region=Oklahoma+City" rel="nofollow">TTN OKC traffic</a>	TTN OKC traffic	traffic	57
<a href="http://www.sigalert.com/Map.asp?region=Houston" rel="nofollow">TTN HOU traffic</a>	TTN HOU traffic	traffic	57
<a href="http://www.globimmo.net/en/page/globfeeder" rel="nofollow">GlobFeeder</a>	GlobFeeder	0	57
<a href="http://twitterrific.com" rel="nofollow">Twitterrific</a>	Twitterrific	0	56
<a href="http://www.BradStevenson.co/Aeries" rel="nofollow">Aeries 2</a>	Aeries 2	0	55
<a href="http://stone.com/Twittelator" rel="nofollow">Twittelator</a>	Twittelator	0	54
<a href="http://www.sigalert.com/Map.asp?region=Seattle" rel="nofollow">TTN SEA traffic</a>	TTN SEA traffic	traffic	53
<a href="https://www.twitter.com/tiemponi" rel="nofollow">Nicaragua's Weather</a>	Nicaragua's Weather	0	51
<a href="http://russ.garrett.co.uk" rel="nofollow">Deep Space Network</a>	Deep Space Network	0	51
<a href="http://www.4-freelancers.nl" rel="nofollow">AddTweet</a>	AddTweet	0	51
<a href="http://imakoko-gps.appspot.com/" rel="nofollow">今ココなう！iPhone</a>	今ココなう！iPhone	0	50
<a href="http://earthquaketrack.com" rel="nofollow">EarthquakeTrack.com</a>	EarthquakeTrack.com	0	48
<a href="http://live.arkent.web.tr/" rel="nofollow">radyo arkent</a>	radyo arkent	0	47
<a href="http://wetter.dutzi.me/" rel="nofollow">NeuthardWetter Bot</a>	NeuthardWetter Bot	0	47
<a href="http://briscycle.com/" rel="nofollow">Bikewatch Brisbane</a>	Bikewatch Brisbane	0	47
<a href="http://www.simplybestcoupons.com" rel="nofollow">Simply Best Coupons</a>	Simply Best Coupons	0	47
<a href="https://regrowth.mightysolutions.be" rel="nofollow">RegrowthApp</a>	RegrowthApp	0	46
<a href="https://twitter.com/Your_Grammar" rel="nofollow">magical magic</a>	magical magic	0	46
<a href="http://twitter.com/download/iphone" rel="nofollow">AddForMe</a>	AddForMe	0	43
<a href="http://itunes.apple.com/us/app/tweetsplit/id460008334?mt=8&uo=4" rel="nofollow">Tweetsplit on iOS</a>	Tweetsplit on iOS	0	42
<a href="http://enotty.dk/" rel="nofollow">cipni</a>	cipni	0	41
<a href="http://www.dancedeets.com" rel="nofollow">DanceDeets</a>	DanceDeets	0	41
